date,day_of_week,month,season,area,severity,outage_hours,incidents,temperature_c,demand_index,feeder_overload,is_holiday
2022-01-01,Saturday,1,winter,Gulshan-e-Iqbal,medium,3.8,2,19.7,1.1,0,0
2022-01-01,Saturday,1,winter,North Nazimabad,medium,5.0,1,23.0,1.8,0,0
2022-01-01,Saturday,1,winter,Korangi,high,5.4,1,19.5,1.6,0,0
2022-01-01,Saturday,1,winter,Landhi,high,8.0,4,21.5,2.6,0,0
2022-01-01,Saturday,1,winter,Defence (DHA),low,0.7,1,21.1,0.2,0,0
2022-01-01,Saturday,1,winter,Clifton,low,0.7,1,19.1,0.2,0,0
2022-01-01,Saturday,1,winter,SITE Area,medium,4.7,1,16.2,1.2,0,0
2022-01-01,Saturday,1,winter,Orangi Town,high,5.3,1,18.9,1.5,0,0
2022-01-01,Saturday,1,winter,Malir,high,4.8,2,20.6,1.5,0,0
2022-01-01,Saturday,1,winter,Saddar,medium,2.6,1,17.2,0.7,0,0
2022-01-01,Saturday,1,winter,Gulberg,medium,5.7,3,19.5,1.7,0,0
2022-01-01,Saturday,1,winter,Liaquatabad,high,5.7,3,17.2,1.5,0,0
2022-01-01,Saturday,1,winter,Federal B Area,medium,2.9,2,20.2,0.9,0,0
2022-01-01,Saturday,1,winter,Nazimabad,medium,3.6,1,20.8,1.1,0,0
2022-01-01,Saturday,1,winter,Baldia Town,high,6.2,3,19.4,1.8,0,0
2022-01-02,Sunday,1,winter,Gulshan-e-Iqbal,medium,2.5,1,23.7,0.9,0,0
2022-01-02,Sunday,1,winter,North Nazimabad,medium,3.9,1,17.9,1.1,0,0
2022-01-02,Sunday,1,winter,Korangi,high,5.6,1,17.6,1.5,0,0
2022-01-02,Sunday,1,winter,Landhi,high,6.0,1,16.1,1.5,0,0
2022-01-02,Sunday,1,winter,Defence (DHA),low,0.0,1,20.4,0.0,0,0
2022-01-02,Sunday,1,winter,Clifton,low,1.6,1,20.3,0.5,0,0
2022-01-02,Sunday,1,winter,SITE Area,medium,3.8,2,19.4,1.1,0,0
2022-01-02,Sunday,1,winter,Orangi Town,high,4.7,2,18.6,1.3,0,0
2022-01-02,Sunday,1,winter,Malir,high,4.5,1,22.1,1.5,0,0
2022-01-02,Sunday,1,winter,Saddar,medium,3.2,2,16.5,0.8,0,0
2022-01-02,Sunday,1,winter,Gulberg,medium,4.2,1,19.2,1.2,0,0
2022-01-02,Sunday,1,winter,Liaquatabad,high,4.4,2,21.2,1.4,0,0
2022-01-02,Sunday,1,winter,Federal B Area,medium,3.8,2,21.9,1.3,0,0
2022-01-02,Sunday,1,winter,Nazimabad,medium,3.2,2,19.4,1.0,0,0
2022-01-02,Sunday,1,winter,Baldia Town,high,6.1,3,22.0,2.1,0,0
2022-01-03,Monday,1,winter,Gulshan-e-Iqbal,medium,3.8,1,19.6,1.1,0,0
